Landing_Page,Sessions,Active_Users,New_Users,Avg_Engagement_Time,Key_Events,Total_Revenue,Session_Key_Event_Rate
/,3498,2405,2338,112.75214408233276,108,0,0.0260148656375071
(not set),141,73,0,18.68794326241135,0,0,0
/certificate,123,79,5,128.21951219512195,1,0,0.008130081300813
/blogs,76,75,73,6.7368421052631575,1,0,0.0131578947368421
/contact,54,50,47,30.01851851851852,67,0,1
/about,46,44,37,32.17391304347826,6,0,0.0434782608695652
/courses/artificial-intelligence,30,29,29,23.73333333333333,0,0,0
/privacy-policy,29,29,28,8.758620689655173,0,0,0
/courses,27,27,22,186.59259259259255,4,0,0.074074074074074
/courses/Robotics-Course,22,19,17,70.13636363636364,1,0,0.0454545454545454
/mcq-packages/Event Test Quiz,21,18,9,63.61904761904762,1,0,0.0476190476190476
/mcq/submit-test,20,17,0,248.35,0,0,0
/index.php,19,19,19,3.263157894736842,0,0,0
/application-development,16,16,16,10.3125,1,0,0.0625
/terms-condition,16,16,15,16.75,0,0,0
/tutorials,14,14,14,0.3571428571428571,0,0,0
/mcq-packages/Generative AI,13,13,13,23.692307692307693,0,0,0
/courses/digital-marketing,12,11,11,0.25,0,0,0
/summer-training,12,12,12,2.6666666666666665,0,0,0
/workshop-and-seminar,12,12,12,2.6666666666666665,0,0,0
/blogs/impact-devops-on-java-programming,10,10,10,2.5,0,0,0
/corporate-training,9,9,8,22.88888888888889,0,0,0
/industrial-training,9,9,9,0.4444444444444444,0,0,0
/online-course,9,8,7,65.11111111111111,0,0,0
/tutorial/core-java,9,9,9,2.888888888888889,0,0,0
/website-development,9,8,4,89.77777777777777,0,0,0
/courses/data-science,8,8,7,7.875,0,0,0
/feedback,8,8,8,11.5,0,0,0
/courses/core-java,7,6,6,46.142857142857146,0,0,0
/campus-placement-training,6,6,5,41,0,0,0
/courses/web-designing,6,6,5,3.1666666666666665,0,0,0
/digital-marketing,6,4,4,4.5,0,0,0
/mcq-packages,6,6,3,381.8333333333333,1,0,0.1666666666666666
/mcq-packages/Java,6,4,1,96.33333333333331,0,0,0
/tutorial/c-programming,6,6,6,0,0,0,0
/blogs/DSA,5,5,5,1.6,0,0,0
/courses/c++,5,5,4,1,0,0,0
/courses/full-stack-web-development,5,3,2,18.6,0,0,0
/courses/kotlin-android,5,5,5,1.6,0,0,0
/online-course/online-android-course,5,5,5,0,0,0,0
/courses/Flutter,4,4,4,25.75,1,0,0.25
/courses/core-python,4,4,4,21,1,0,0.25
/courses/data-structure,4,4,5,0,0,0,0
/project-training,4,4,4,12.5,0,0,0
/tutorial/c-programming/features-of-c,4,4,3,0,0,0,0
/blogs/digital-marketing-course,3,3,3,9.666666666666666,0,0,0
/blogs/skyline-of-cloud-computing-navigating-the-digital-horizon,3,3,3,0,0,0,0
/blogs/what-is-machine-learning,3,3,3,9.666666666666666,0,0,0
/contact.php,3,3,3,0,3,0,1
/courses/Java,3,2,1,3.333333333333333,0,0,0
/courses/android,3,3,3,0,0,0,0
/courses/php,3,3,3,0,0,0,0
/courses/python,3,3,3,0,0,0,0
/mcq-packages/DSA,3,3,2,105.33333333333331,1,0,0.3333333333333333
/blogs/index.php,2,2,2,9.5,0,0,0
/blogs/what-is-flutter,2,2,2,0,0,0,0
/courses/Campus Placement Training,2,2,0,163,0,0,0
/courses/Coding Questions,2,2,1,31.5,0,0,0
/courses/VFX,2,2,1,84,0,0,0
/courses/c,2,2,2,1,0,0,0
/mcq-packages/C++ Programing,2,2,2,0,0,0,0
/mcq/result/102,2,2,0,0,0,0,0
/blogs/deep-learning,1,1,1,0,0,0,0
/blogs/driving-iot,1,1,1,19,0,0,0
/blogs/generative-ai-and-ai-governance,1,1,1,0,0,0,0
/mcq-packages/Variable and Data Type,1,1,0,0,0,0,0
/mcq-packages/computer-science-trivia,1,1,1,6,0,0,0
/public/mcq-packages,1,1,1,0,0,0,0
/tutorial/c-programming/Compilers-Integrated,1,1,1,0,0,0,0
/tutorial/c-programming/Importance-of-C-language,1,1,1,0,0,0,0
/tutorial/c-programming/Structure-in-c-Programming,1,1,1,0,0,0,0
